Enrollment,Program,CGPA,12th Percentage,Board,Medium of Education,Native,Mode of Transportation,Family Annual Income(in lakhs),laptop,Members Earning in Family,Gender,Disability Status,Family Structure,Number of Students in Family,Intrested in higher studies in India,Interested in Higher Studies Abroad,Education Loan Taken,Father's Occupation,Extracurricular Participation,Achievements/Recognition in Extracurricular Activities,Community Service Participation,Positions of Responsibility Held,Internet Access,Distance from Home to University,Parents' Education Level,Chronic Illness or Disability
1495,FEHS,6.42,66.76,CBSE,English,Ahmedabad,Personal car,10-15,No,1,Male,Yes,Both parents,2,No,No,No,Other,Yes,Yes,No,Yes,No,25.4,Undergraduate,No
1496,BBA,9.63,69.18,CBSE,Hindi,Vadodara,University Bus,10-15,Yes,3,Other,Yes,Both parents,5,Yes,No,Yes,Govt. Employee,Yes,No,No,Yes,Yes,9.5,Postgraduate,No
1497,CSE,6.45,60.82,State Board,Gujarati,Ahmedabad,Personal bike,Below 5,Yes,1,Male,No,Both parents,4,No,Yes,No,Business,No,No,No,Yes,Yes,6.5,Undergraduate,No
1498,BBA,6.64,64.51,CBSE,Gujarati,Surat,Personal car,5-10,No,1,Other,Yes,Orphaned,4,No,No,No,Labour,Yes,No,Yes,Yes,Yes,33.3,High School,Yes
1499,Chemical,9.51,63.68,ICSE,English,Bharuch,University Bus,10-15,Yes,4,Male,No,Both parents,4,No,Yes,No,Other,Yes,No,Yes,No,No,25.5,Undergraduate,No
1500,FEHS,5.61,82.13,CBSE,Marathi,Surat,Personal bike,5-10,No,4,Female,No,Single-parent,2,No,No,Yes,Labour,Yes,No,Yes,Yes,No,24.5,Undergraduate,No
1501,FEHS,7.99,57.46,CBSE,Gujarati,Rajkot,Personal car,Above 20,No,5,Female,Yes,Both parents,5,No,No,Yes,Farmer,Yes,No,No,No,No,27.4,Postgraduate,No
1502,BBA,5.25,88.55,ICSE,Marathi,Vadodara,University Bus,5-10,Yes,1,Other,Yes,Both parents,5,No,No,Yes,Business,No,Yes,No,No,No,13.4,Undergraduate,Yes
1503,BBA,5.1,92.65,CBSE,Marathi,Rajkot,University Bus,15-20,Yes,4,Male,Yes,Orphaned,2,No,Yes,No,Farmer,No,No,No,No,No,45.8,Undergraduate,No
1504,CSE,5.39,85.36,State Board,Gujarati,Ahmedabad,University Bus,Above 20,No,5,Male,Yes,Single-parent,1,No,Yes,Yes,Govt. Employee,No,Yes,No,No,No,49.7,Undergraduate,Yes
1505,Chemical,8.5,95.25,CBSE,Marathi,Vadodara,Personal car,Above 20,Yes,2,Male,Yes,Both parents,5,Yes,Yes,Yes,Farmer,No,Yes,No,Yes,Yes,12.3,Postgraduate,No
1506,FEHS,8.18,58.25,State Board,Hindi,Rajkot,University Bus,Above 20,Yes,2,Male,Yes,Both parents,4,Yes,No,No,Farmer,Yes,No,Yes,Yes,Yes,33.7,High School,No
1507,Chemical,7.6,70.3,ICSE,English,Vadodara,University Bus,15-20,No,3,Male,No,Single-parent,3,Yes,Yes,Yes,Labour,Yes,Yes,Yes,No,Yes,28.2,High School,Yes
1508,BBA,8.13,56.12,State Board,Marathi,Ahmedabad,Public Transport,10-15,No,3,Female,No,Both parents,5,Yes,No,No,Govt. Employee,No,Yes,Yes,No,No,6.1,High School,Yes
1509,Chemical,7.78,70.13,ICSE,Hindi,Vadodara,Public Transport,10-15,No,3,Other,No,Orphaned,4,No,No,Yes,Labour,No,Yes,Yes,No,No,22.9,High School,Yes
1510,FEHS,9.31,69.01,State Board,Gujarati,Ahmedabad,Personal bike,5-10,No,2,Female,No,Both parents,5,Yes,Yes,No,Labour,No,No,No,No,No,20.0,Undergraduate,No
1511,Chemical,8.44,93.81,State Board,Marathi,Ahmedabad,University Bus,Above 20,No,5,Other,No,Both parents,2,Yes,No,No,Labour,Yes,Yes,No,Yes,Yes,6.3,High School,No
1512,CSE,5.8,50.07,ICSE,Marathi,Vadodara,Public Transport,Below 5,Yes,5,Other,Yes,Both parents,4,No,No,Yes,Business,No,No,Yes,No,Yes,12.0,Undergraduate,No
1513,Chemical,5.99,70.19,State Board,Gujarati,Surat,Personal car,Above 20,Yes,3,Male,No,Orphaned,1,Yes,No,No,Other,Yes,Yes,No,Yes,No,7.4,High School,Yes
1514,BBA,6.65,64.27,ICSE,Gujarati,Bharuch,Personal car,5-10,No,5,Female,Yes,Single-parent,2,No,No,No,Farmer,No,No,No,Yes,No,4.0,Postgraduate,No
1515,FEHS,9.6,84.77,State Board,English,Rajkot,Personal bike,10-15,Yes,3,Male,Yes,Single-parent,1,No,Yes,Yes,Farmer,Yes,Yes,No,Yes,Yes,40.4,Postgraduate,No
1516,CSE,8.34,59.81,State Board,Hindi,Vadodara,Personal car,15-20,Yes,1,Other,No,Orphaned,4,Yes,Yes,Yes,Labour,No,No,Yes,Yes,No,21.7,Undergraduate,Yes
1517,FEHS,9.14,68.14,ICSE,Gujarati,Surat,Personal bike,Below 5,Yes,2,Male,No,Both parents,2,Yes,Yes,No,Business,Yes,No,Yes,Yes,No,25.6,Postgraduate,Yes
1518,CSE,5.44,70.01,State Board,English,Vadodara,University Bus,Above 20,No,5,Female,Yes,Orphaned,4,No,Yes,Yes,Business,No,No,No,Yes,No,26.2,Postgraduate,No
1519,BBA,6.16,78.09,State Board,Marathi,Bharuch,Personal bike,Above 20,No,3,Other,No,Orphaned,3,Yes,No,No,Other,No,Yes,No,No,No,19.3,Postgraduate,Yes
1520,FEHS,8.51,58.21,ICSE,English,Rajkot,University Bus,5-10,No,2,Female,No,Both parents,2,Yes,Yes,Yes,Govt. Employee,Yes,Yes,No,Yes,No,42.3,Undergraduate,Yes
1521,CSE,9.55,62.17,CBSE,Gujarati,Surat,Personal car,10-15,No,1,Female,Yes,Both parents,5,No,No,No,Labour,No,Yes,Yes,No,Yes,28.9,High School,No
1522,BBA,7.84,74.43,CBSE,Hindi,Bharuch,Personal car,Above 20,Yes,5,Other,Yes,Single-parent,2,Yes,Yes,Yes,Business,Yes,No,Yes,No,No,2.4,High School,Yes
1523,CSE,9.91,60.3,CBSE,English,Vadodara,University Bus,15-20,No,2,Other,No,Orphaned,3,Yes,No,No,Govt. Employee,Yes,No,No,Yes,No,39.6,High School,No
1524,FEHS,7.69,71.64,State Board,Hindi,Rajkot,University Bus,Above 20,No,1,Other,No,Orphaned,2,Yes,No,Yes,Other,No,No,No,No,No,9.4,High School,No
1525,Chemical,8.99,64.6,CBSE,English,Vadodara,Personal bike,Below 5,Yes,1,Male,No,Orphaned,2,Yes,Yes,Yes,Labour,No,No,Yes,Yes,No,8.9,Postgraduate,Yes
1526,BBA,8.07,77.92,State Board,English,Rajkot,Public Transport,Below 5,No,4,Male,No,Orphaned,1,Yes,No,No,Govt. Employee,Yes,Yes,Yes,Yes,No,7.0,Postgraduate,Yes
1527,CSE,9.3,72.63,State Board,English,Bharuch,University Bus,10-15,Yes,4,Male,No,Single-parent,1,No,Yes,Yes,Labour,Yes,Yes,Yes,Yes,Yes,18.0,High School,Yes
1528,Chemical,8.11,85.2,State Board,Marathi,Vadodara,University Bus,Below 5,Yes,3,Other,Yes,Both parents,1,Yes,No,Yes,Other,No,Yes,Yes,Yes,No,42.1,High School,No
1529,BBA,5.98,62.49,ICSE,English,Bharuch,Personal car,Above 20,No,4,Other,No,Both parents,2,Yes,Yes,No,Labour,Yes,Yes,Yes,No,Yes,45.5,Postgraduate,No
1530,Chemical,7.67,76.84,ICSE,Gujarati,Surat,Personal car,5-10,Yes,4,Female,Yes,Both parents,1,No,No,No,Govt. Employee,Yes,No,Yes,No,No,13.7,Undergraduate,No
1531,Chemical,8.25,62.16,ICSE,Marathi,Surat,Public Transport,10-15,No,1,Female,Yes,Both parents,4,Yes,Yes,Yes,Business,No,Yes,Yes,Yes,No,32.5,Postgraduate,No
1532,CSE,6.87,94.46,CBSE,Hindi,Rajkot,Personal car,Above 20,No,4,Other,No,Both parents,1,Yes,No,No,Farmer,No,No,Yes,Yes,No,42.0,Postgraduate,No
1533,BBA,6.32,84.85,CBSE,English,Ahmedabad,University Bus,5-10,Yes,5,Female,No,Single-parent,3,No,Yes,No,Farmer,Yes,No,No,Yes,Yes,42.1,Postgraduate,No
1534,Chemical,6.07,59.3,State Board,English,Vadodara,University Bus,15-20,No,2,Other,Yes,Orphaned,3,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,No,13.6,High School,No
1535,Chemical,5.91,85.3,ICSE,Gujarati,Bharuch,University Bus,Above 20,Yes,4,Male,Yes,Orphaned,1,No,No,No,Govt. Employee,No,No,Yes,Yes,Yes,16.5,Postgraduate,Yes
1536,CSE,6.67,78.98,ICSE,Hindi,Surat,University Bus,Below 5,Yes,4,Other,No,Orphaned,4,Yes,No,Yes,Labour,Yes,No,No,Yes,No,36.3,Postgraduate,No
1537,Chemical,8.49,90.63,CBSE,Gujarati,Ahmedabad,Personal bike,Above 20,Yes,1,Other,Yes,Single-parent,1,Yes,Yes,No,Govt. Employee,No,No,No,Yes,No,33.6,Undergraduate,No
1538,BBA,5.83,96.99,ICSE,English,Rajkot,Public Transport,15-20,No,2,Female,Yes,Both parents,2,No,Yes,Yes,Govt. Employee,Yes,No,No,Yes,No,15.7,Postgraduate,Yes
1539,CSE,5.82,59.36,CBSE,English,Bharuch,Public Transport,5-10,Yes,4,Other,No,Orphaned,4,Yes,No,No,Other,Yes,No,No,No,Yes,31.3,Undergraduate,Yes
1540,FEHS,9.82,75.9,State Board,Marathi,Vadodara,University Bus,15-20,No,2,Female,Yes,Single-parent,4,No,No,Yes,Govt. Employee,No,Yes,No,Yes,No,31.0,Postgraduate,Yes
1541,BBA,9.62,82.03,CBSE,Hindi,Rajkot,University Bus,Above 20,Yes,4,Female,Yes,Single-parent,5,No,No,No,Labour,No,Yes,No,No,Yes,23.4,High School,No
1542,BBA,6.75,99.08,ICSE,English,Surat,University Bus,15-20,No,5,Female,No,Single-parent,5,Yes,Yes,No,Farmer,No,No,No,Yes,Yes,36.6,High School,Yes
1543,BBA,9.44,52.21,State Board,English,Ahmedabad,Personal car,Above 20,No,3,Other,Yes,Single-parent,4,No,No,No,Other,No,Yes,No,Yes,No,33.4,High School,Yes
1544,Chemical,6.44,93.52,State Board,Marathi,Surat,Public Transport,5-10,Yes,2,Other,No,Orphaned,1,Yes,Yes,No,Farmer,Yes,Yes,Yes,No,No,39.3,High School,Yes
1545,FEHS,7.08,78.36,CBSE,Marathi,Bharuch,University Bus,Above 20,Yes,1,Male,Yes,Orphaned,1,No,No,No,Other,Yes,No,No,Yes,Yes,49.4,High School,No
1546,Chemical,7.58,97.92,CBSE,English,Ahmedabad,University Bus,Above 20,No,4,Male,No,Single-parent,4,No,No,No,Farmer,No,Yes,No,No,No,26.7,Postgraduate,No
1547,FEHS,9.33,86.59,ICSE,Hindi,Rajkot,Public Transport,Below 5,No,3,Male,Yes,Both parents,3,Yes,No,No,Labour,Yes,No,No,Yes,No,44.0,High School,No
1548,Chemical,7.94,67.37,CBSE,English,Ahmedabad,Personal car,10-15,Yes,1,Other,Yes,Both parents,3,No,Yes,Yes,Govt. Employee,No,No,Yes,No,Yes,37.2,Postgraduate,No
1549,FEHS,7.35,64.63,State Board,Gujarati,Bharuch,Personal bike,Below 5,No,1,Other,Yes,Both parents,1,Yes,No,No,Other,Yes,Yes,Yes,No,Yes,19.1,High School,No
1550,BBA,5.93,85.36,State Board,Hindi,Vadodara,Personal bike,Above 20,No,5,Female,Yes,Both parents,4,Yes,No,Yes,Labour,No,No,No,No,Yes,5.8,Postgraduate,Yes
1551,FEHS,7.2,73.77,CBSE,Marathi,Rajkot,Public Transport,10-15,Yes,5,Other,No,Single-parent,1,Yes,No,Yes,Other,No,Yes,Yes,Yes,Yes,8.8,Undergraduate,No
1552,FEHS,8.33,76.57,ICSE,Gujarati,Surat,Public Transport,15-20,Yes,5,Female,No,Both parents,5,No,No,No,Business,Yes,Yes,Yes,No,Yes,14.4,High School,No
1553,CSE,6.42,65.94,State Board,Marathi,Vadodara,Public Transport,5-10,No,4,Female,Yes,Both parents,3,No,Yes,Yes,Farmer,No,Yes,No,Yes,No,28.3,High School,Yes
1554,Chemical,7.36,69.63,ICSE,Marathi,Bharuch,Personal car,10-15,Yes,3,Other,Yes,Single-parent,4,No,No,No,Farmer,No,Yes,No,Yes,Yes,29.0,High School,Yes
1555,FEHS,8.06,64.71,CBSE,Gujarati,Bharuch,University Bus,10-15,Yes,5,Other,Yes,Both parents,1,Yes,No,No,Other,Yes,Yes,Yes,No,Yes,45.2,Undergraduate,No
1556,BBA,6.35,91.57,CBSE,Marathi,Surat,University Bus,15-20,Yes,5,Female,Yes,Orphaned,1,Yes,Yes,Yes,Govt. Employee,Yes,No,Yes,Yes,Yes,21.6,Postgraduate,Yes
1557,FEHS,7.92,91.94,ICSE,Marathi,Ahmedabad,Public Transport,15-20,Yes,2,Male,Yes,Orphaned,1,Yes,Yes,No,Business,No,Yes,Yes,No,No,42.0,High School,No
1558,Chemical,5.18,67.58,State Board,Hindi,Surat,Public Transport,Below 5,Yes,4,Female,No,Orphaned,3,Yes,No,No,Labour,No,Yes,No,Yes,No,24.5,High School,No
1559,FEHS,5.02,63.4,CBSE,Marathi,Surat,Public Transport,15-20,Yes,4,Female,Yes,Both parents,4,Yes,Yes,Yes,Business,Yes,No,No,Yes,Yes,35.6,High School,Yes
1560,Chemical,7.71,61.67,State Board,English,Rajkot,Personal bike,15-20,Yes,4,Female,No,Orphaned,2,Yes,Yes,Yes,Business,Yes,No,No,Yes,Yes,25.7,Undergraduate,Yes
1561,BBA,8.72,76.95,CBSE,Marathi,Vadodara,Public Transport,Above 20,No,2,Female,Yes,Both parents,1,Yes,No,Yes,Farmer,No,No,Yes,No,No,45.8,Postgraduate,Yes
1562,BBA,9.06,85.16,State Board,Hindi,Ahmedabad,Public Transport,10-15,No,5,Female,Yes,Single-parent,1,Yes,Yes,No,Labour,Yes,No,No,Yes,No,1.1,Undergraduate,No
1563,CSE,8.27,81.89,State Board,English,Bharuch,University Bus,Below 5,No,2,Male,No,Orphaned,3,No,No,No,Labour,Yes,No,No,No,Yes,2.4,High School,No
1564,FEHS,8.13,77.54,ICSE,Gujarati,Surat,Personal car,Above 20,No,3,Female,Yes,Single-parent,5,No,Yes,No,Business,No,No,Yes,Yes,Yes,3.9,Postgraduate,No
1565,FEHS,5.18,79.58,State Board,Gujarati,Bharuch,University Bus,Above 20,Yes,4,Female,Yes,Orphaned,2,No,No,Yes,Other,Yes,Yes,Yes,No,Yes,25.6,High School,No
1566,FEHS,8.68,73.48,CBSE,English,Vadodara,University Bus,15-20,Yes,3,Male,No,Orphaned,3,No,No,Yes,Other,No,Yes,No,No,Yes,36.9,High School,No
1567,Chemical,9.76,85.67,ICSE,Hindi,Surat,Personal bike,10-15,Yes,2,Male,Yes,Orphaned,4,No,No,No,Other,No,Yes,No,Yes,Yes,33.6,High School,No
1568,CSE,6.9,85.21,ICSE,Marathi,Bharuch,Personal bike,15-20,Yes,5,Female,Yes,Single-parent,5,Yes,No,No,Business,No,Yes,Yes,Yes,No,24.0,High School,No
1569,CSE,7.54,92.67,CBSE,Gujarati,Ahmedabad,Personal car,15-20,No,3,Female,Yes,Both parents,2,No,No,No,Other,Yes,No,No,Yes,No,28.8,Undergraduate,Yes
1570,CSE,7.32,93.23,ICSE,Hindi,Bharuch,Personal car,5-10,Yes,3,Female,Yes,Orphaned,2,No,No,Yes,Farmer,Yes,Yes,No,Yes,No,5.0,High School,Yes
1571,FEHS,7.56,91.59,State Board,Marathi,Ahmedabad,Personal car,5-10,Yes,1,Other,Yes,Orphaned,5,Yes,Yes,Yes,Farmer,Yes,Yes,Yes,No,Yes,13.9,Undergraduate,Yes
1572,FEHS,9.8,72.1,ICSE,Gujarati,Vadodara,Personal bike,Above 20,No,2,Female,Yes,Orphaned,1,No,Yes,No,Farmer,No,No,Yes,No,Yes,22.5,Postgraduate,No
1573,Chemical,5.11,94.49,CBSE,Marathi,Vadodara,Personal bike,15-20,No,3,Male,No,Both parents,1,Yes,No,Yes,Business,Yes,No,No,Yes,No,5.3,High School,No
1574,CSE,7.99,54.08,CBSE,English,Vadodara,Public Transport,5-10,Yes,5,Female,Yes,Single-parent,5,Yes,Yes,No,Business,No,No,No,Yes,Yes,32.0,High School,Yes
1575,FEHS,6.05,85.62,CBSE,Hindi,Vadodara,Public Transport,15-20,No,1,Other,Yes,Single-parent,2,Yes,No,No,Govt. Employee,No,Yes,Yes,Yes,Yes,38.3,Postgraduate,Yes
1576,Chemical,5.45,55.1,CBSE,English,Bharuch,Personal bike,Below 5,Yes,3,Male,No,Both parents,5,Yes,No,Yes,Business,Yes,Yes,Yes,Yes,No,11.7,Undergraduate,Yes
1577,BBA,7.77,73.47,ICSE,Gujarati,Surat,Personal car,Below 5,No,3,Female,Yes,Single-parent,1,No,No,No,Business,No,Yes,Yes,No,Yes,11.9,Undergraduate,No
1578,CSE,9.85,62.78,CBSE,English,Vadodara,Public Transport,Above 20,No,5,Female,No,Orphaned,3,Yes,Yes,Yes,Farmer,No,No,No,No,Yes,19.8,Postgraduate,Yes
1579,FEHS,5.32,82.09,State Board,Gujarati,Surat,Personal car,Below 5,Yes,5,Other,Yes,Orphaned,1,No,Yes,Yes,Farmer,Yes,No,No,Yes,Yes,6.7,Postgraduate,No
1580,FEHS,5.86,51.68,ICSE,Gujarati,Bharuch,Personal bike,5-10,Yes,2,Other,Yes,Orphaned,3,No,No,No,Govt. Employee,Yes,No,No,Yes,Yes,13.2,High School,Yes
1581,Chemical,7.14,64.59,CBSE,English,Rajkot,Personal bike,15-20,No,4,Female,No,Orphaned,3,Yes,No,Yes,Labour,No,Yes,Yes,Yes,Yes,1.4,High School,No
1582,Chemical,7.89,81.57,State Board,Marathi,Rajkot,Public Transport,10-15,Yes,4,Male,No,Both parents,4,Yes,No,Yes,Govt. Employee,No,No,No,Yes,No,10.3,High School,Yes
1583,FEHS,8.44,74.03,State Board,English,Vadodara,Personal car,Below 5,Yes,2,Other,Yes,Orphaned,3,No,Yes,Yes,Other,No,No,Yes,No,No,6.1,High School,Yes
1584,BBA,8.27,58.8,ICSE,English,Bharuch,Personal car,5-10,No,2,Female,No,Single-parent,4,Yes,Yes,No,Farmer,No,Yes,No,No,No,23.6,Undergraduate,Yes
1585,CSE,5.49,50.42,ICSE,Gujarati,Bharuch,Personal bike,Above 20,Yes,1,Other,No,Orphaned,2,Yes,Yes,No,Govt. Employee,Yes,Yes,Yes,No,No,22.8,High School,Yes
1586,BBA,8.53,63.17,State Board,Gujarati,Surat,Public Transport,Below 5,No,4,Female,No,Single-parent,4,No,Yes,No,Business,Yes,No,No,No,No,5.8,Postgraduate,Yes
1587,CSE,9.96,82.88,State Board,English,Rajkot,Personal bike,10-15,Yes,3,Male,Yes,Both parents,5,No,Yes,No,Govt. Employee,No,Yes,Yes,Yes,No,45.9,Postgraduate,Yes
1588,Chemical,7.12,68.91,CBSE,English,Surat,Personal bike,5-10,Yes,4,Female,Yes,Orphaned,5,Yes,No,No,Govt. Employee,No,No,No,No,Yes,32.2,Postgraduate,No
1589,CSE,9.21,77.76,CBSE,Hindi,Bharuch,Personal bike,5-10,No,1,Other,Yes,Single-parent,5,Yes,Yes,No,Other,Yes,Yes,Yes,No,No,3.3,Postgraduate,No
1590,FEHS,6.29,57.12,State Board,Hindi,Surat,Personal car,15-20,No,4,Female,No,Both parents,1,No,No,No,Business,Yes,Yes,No,No,No,19.3,Postgraduate,No
1591,FEHS,6.11,87.49,State Board,Gujarati,Bharuch,Personal car,5-10,Yes,4,Male,Yes,Both parents,4,Yes,No,No,Labour,Yes,No,Yes,No,Yes,31.3,Postgraduate,No
1592,BBA,7.97,58.01,ICSE,Hindi,Vadodara,Public Transport,Above 20,No,4,Other,Yes,Single-parent,4,Yes,No,Yes,Govt. Employee,No,No,Yes,Yes,Yes,4.2,Postgraduate,No
1593,CSE,7.9,67.52,ICSE,English,Bharuch,University Bus,Above 20,Yes,4,Male,No,Single-parent,5,Yes,Yes,Yes,Govt. Employee,No,Yes,Yes,No,No,38.7,Postgraduate,Yes
1594,FEHS,6.85,83.73,CBSE,Gujarati,Vadodara,Public Transport,Below 5,Yes,4,Female,No,Orphaned,2,Yes,Yes,Yes,Business,No,Yes,Yes,Yes,No,22.8,High School,Yes
1595,FEHS,8.98,65.46,State Board,English,Ahmedabad,Personal bike,Above 20,No,2,Male,No,Orphaned,2,Yes,Yes,Yes,Business,Yes,Yes,Yes,Yes,Yes,30.8,Postgraduate,Yes
1596,BBA,8.7,70.07,ICSE,English,Ahmedabad,Personal bike,10-15,No,4,Male,Yes,Orphaned,4,No,Yes,No,Govt. Employee,Yes,Yes,No,No,Yes,26.6,Undergraduate,No
1597,BBA,7.18,59.88,State Board,Marathi,Vadodara,Personal car,5-10,No,5,Other,Yes,Single-parent,2,Yes,Yes,Yes,Other,No,No,No,No,No,1.8,High School,Yes
1598,FEHS,8.0,81.84,CBSE,Marathi,Ahmedabad,Personal car,Above 20,Yes,3,Female,Yes,Single-parent,5,Yes,No,No,Labour,No,Yes,No,Yes,No,16.9,High School,Yes
1599,FEHS,5.57,87.84,CBSE,Gujarati,Bharuch,Personal bike,5-10,No,2,Female,Yes,Single-parent,5,No,No,Yes,Farmer,No,Yes,No,Yes,No,46.6,Undergraduate,No
1600,CSE,6.24,86.86,CBSE,English,Vadodara,Personal bike,Above 20,Yes,2,Male,Yes,Both parents,5,No,No,Yes,Other,No,No,Yes,Yes,Yes,29.4,Postgraduate,Yes
1601,Chemical,5.66,65.38,ICSE,Gujarati,Bharuch,Public Transport,Above 20,No,4,Male,No,Both parents,5,Yes,Yes,Yes,Business,Yes,No,Yes,Yes,No,17.5,Postgraduate,No
1602,FEHS,8.78,53.54,ICSE,Marathi,Vadodara,Personal car,Above 20,Yes,4,Female,No,Single-parent,5,No,No,No,Business,No,Yes,Yes,Yes,Yes,11.5,Postgraduate,Yes
1603,CSE,9.27,83.95,CBSE,Marathi,Ahmedabad,University Bus,Below 5,Yes,5,Female,No,Orphaned,4,No,No,No,Farmer,Yes,Yes,No,No,No,21.1,Postgraduate,Yes
1604,Chemical,7.75,77.27,ICSE,Gujarati,Rajkot,Personal bike,5-10,No,3,Other,No,Orphaned,3,Yes,No,Yes,Farmer,Yes,No,Yes,Yes,No,3.9,Undergraduate,Yes
1605,CSE,7.99,98.95,State Board,Marathi,Rajkot,Personal car,Below 5,Yes,3,Male,Yes,Single-parent,3,No,No,Yes,Farmer,Yes,No,No,Yes,No,34.4,Undergraduate,No
1606,Chemical,8.36,63.07,State Board,Hindi,Surat,Personal car,Below 5,No,3,Other,No,Single-parent,3,Yes,Yes,No,Govt. Employee,No,No,Yes,Yes,Yes,1.2,Postgraduate,Yes
1607,CSE,7.57,92.72,CBSE,English,Surat,Public Transport,5-10,No,4,Male,Yes,Orphaned,2,Yes,No,Yes,Business,No,Yes,No,No,No,35.1,Postgraduate,No
1608,Chemical,6.96,55.94,CBSE,Marathi,Rajkot,Personal bike,10-15,No,5,Other,No,Both parents,2,No,No,Yes,Farmer,Yes,No,Yes,Yes,No,39.4,Undergraduate,No
1609,CSE,7.76,96.71,CBSE,Hindi,Rajkot,Public Transport,Above 20,No,3,Other,Yes,Both parents,3,Yes,Yes,Yes,Farmer,Yes,No,Yes,Yes,No,38.2,High School,Yes
1610,BBA,7.01,62.11,State Board,English,Bharuch,Personal bike,10-15,No,5,Other,No,Both parents,2,Yes,No,Yes,Farmer,Yes,Yes,No,No,Yes,21.8,High School,No
1611,BBA,7.9,98.66,ICSE,Gujarati,Bharuch,Public Transport,5-10,Yes,5,Other,No,Both parents,2,No,No,No,Other,Yes,Yes,Yes,No,Yes,9.8,Undergraduate,Yes
1612,FEHS,5.53,60.43,CBSE,Marathi,Ahmedabad,University Bus,Below 5,Yes,4,Other,No,Orphaned,5,Yes,No,No,Labour,No,Yes,Yes,No,No,14.3,Postgraduate,No
1613,BBA,5.87,87.75,ICSE,Gujarati,Surat,Personal bike,15-20,No,4,Other,No,Both parents,1,Yes,No,Yes,Farmer,No,Yes,No,No,Yes,33.2,Undergraduate,Yes
1614,CSE,8.74,70.12,ICSE,Marathi,Vadodara,Personal car,15-20,Yes,5,Other,No,Both parents,1,No,No,No,Farmer,No,No,Yes,Yes,Yes,49.0,Undergraduate,Yes
1615,BBA,6.17,99.15,State Board,Marathi,Surat,Personal bike,Below 5,No,5,Male,No,Orphaned,1,Yes,No,Yes,Govt. Employee,No,No,No,Yes,Yes,33.6,Postgraduate,Yes
1616,FEHS,6.15,91.96,ICSE,Marathi,Bharuch,Personal car,Above 20,Yes,1,Other,No,Single-parent,4,No,No,No,Labour,Yes,No,Yes,Yes,No,4.2,Postgraduate,Yes
1617,FEHS,5.13,86.0,ICSE,English,Ahmedabad,University Bus,Above 20,No,3,Male,Yes,Orphaned,4,No,No,Yes,Govt. Employee,Yes,No,Yes,Yes,No,29.6,High School,Yes
1618,FEHS,9.66,60.63,CBSE,Marathi,Ahmedabad,Personal bike,15-20,No,2,Female,Yes,Single-parent,1,No,Yes,No,Farmer,Yes,Yes,Yes,No,No,24.0,Postgraduate,No
1619,FEHS,6.3,97.08,CBSE,English,Vadodara,Personal bike,10-15,No,5,Male,No,Single-parent,1,Yes,No,No,Farmer,Yes,No,Yes,No,No,5.9,High School,Yes
1620,BBA,6.62,67.57,CBSE,Marathi,Bharuch,University Bus,Above 20,Yes,1,Female,Yes,Orphaned,3,Yes,No,Yes,Govt. Employee,No,Yes,Yes,Yes,No,25.1,Undergraduate,No
1621,Chemical,5.32,82.07,ICSE,English,Surat,Public Transport,10-15,No,3,Female,Yes,Single-parent,4,Yes,Yes,No,Business,Yes,No,No,Yes,Yes,37.0,Undergraduate,No
1622,BBA,9.93,82.34,State Board,English,Rajkot,Public Transport,Above 20,Yes,1,Other,No,Both parents,3,No,No,No,Business,No,No,No,No,No,30.8,High School,Yes
1623,Chemical,6.1,83.75,CBSE,English,Ahmedabad,Public Transport,15-20,Yes,4,Male,Yes,Orphaned,4,No,Yes,Yes,Other,No,Yes,Yes,No,Yes,38.7,Undergraduate,Yes
1624,FEHS,7.74,89.87,State Board,Gujarati,Ahmedabad,Personal bike,5-10,Yes,2,Male,No,Both parents,4,No,No,No,Labour,No,No,Yes,Yes,Yes,21.4,Undergraduate,No
1625,FEHS,8.82,84.69,ICSE,Hindi,Vadodara,Personal bike,5-10,No,4,Male,Yes,Single-parent,3,Yes,No,No,Other,Yes,No,No,No,Yes,49.7,Undergraduate,No
1626,Chemical,9.95,62.86,CBSE,Marathi,Surat,Personal car,10-15,No,4,Other,Yes,Both parents,4,No,Yes,Yes,Govt. Employee,Yes,No,No,Yes,Yes,14.0,High School,No
1627,Chemical,5.41,83.49,State Board,Hindi,Surat,University Bus,Above 20,No,2,Male,No,Orphaned,2,Yes,Yes,No,Business,No,No,Yes,Yes,No,49.2,High School,No
1628,FEHS,5.76,96.43,State Board,Hindi,Vadodara,Public Transport,10-15,No,5,Female,Yes,Both parents,3,Yes,Yes,No,Other,Yes,Yes,Yes,No,No,47.5,Postgraduate,No
1629,FEHS,7.26,63.91,State Board,English,Vadodara,Personal bike,5-10,No,4,Other,No,Both parents,4,Yes,No,No,Other,Yes,No,No,Yes,Yes,39.8,High School,Yes
1630,Chemical,9.14,75.73,ICSE,English,Vadodara,Personal car,15-20,Yes,4,Other,Yes,Single-parent,2,No,Yes,No,Farmer,Yes,Yes,No,No,No,7.2,High School,Yes
1631,CSE,9.76,65.97,CBSE,Hindi,Vadodara,Personal bike,10-15,Yes,5,Male,Yes,Both parents,1,Yes,No,No,Govt. Employee,No,No,No,No,Yes,33.4,Postgraduate,Yes
